Command line
Loss = 4.2230e-01, PNorm = 45.4598, GNorm = 1.1856, lr_0 = 1.3913e-04
Loss = 4.4119e-01, PNorm = 45.5084, GNorm = 0.9720, lr_0 = 1.3953e-04
Loss = 4.5976e-01, PNorm = 45.5738, GNorm = 1.1662, lr_0 = 1.3994e-04
Loss = 4.2511e-01, PNorm = 45.6329, GNorm = 0.9186, lr_0 = 1.4035e-04
Loss = 4.4744e-01, PNorm = 45.6891, GNorm = 2.7872, lr_0 = 1.4075e-04
Loss = 4.2953e-01, PNorm = 45.7417, GNorm = 2.3318, lr_0 = 1.4116e-04
Loss = 3.6959e-01, PNorm = 45.8087, GNorm = 2.2970, lr_0 = 1.4157e-04
Loss = 3.1869e-01, PNorm = 45.8562, GNorm = 1.0467, lr_0 = 1.4198e-04
Loss = 3.9769e-01, PNorm = 45.8971, GNorm = 0.9520, lr_0 = 1.4238e-04
Loss = 4.0629e-01, PNorm = 45.9404, GNorm = 0.8974, lr_0 = 1.4279e-04
Loss = 4.5708e-01, PNorm = 46.0033, GNorm = 1.4476, lr_0 = 1.4320e-04
Loss = 4.3764e-01, PNorm = 46.0731, GNorm = 0.8628, lr_0 = 1.4360e-04
Loss = 4.7165e-01, PNorm = 46.1542, GNorm = 1.3164, lr_0 = 1.4401e-04
Loss = 4.3321e-01, PNorm = 46.2586, GNorm = 0.7943, lr_0 = 1.4442e-04
Loss = 3.5229e-01, PNorm = 46.3429, GNorm = 0.9581, lr_0 = 1.4482e-04
Loss = 5.1552e-01, PNorm = 46.4191, GNorm = 1.1024, lr_0 = 1.4523e-04
Loss = 4.2789e-01, PNorm = 46.5367, GNorm = 1.3099, lr_0 = 1.4564e-04
Loss = 4.8104e-01, PNorm = 46.6208, GNorm = 0.9325, lr_0 = 1.4605e-04
Loss = 3.2833e-01, PNorm = 46.7245, GNorm = 0.7751, lr_0 = 1.4645e-04
Loss = 3.8740e-01, PNorm = 46.8157, GNorm = 1.6137, lr_0 = 1.4686e-04
Loss = 3.6718e-01, PNorm = 46.8843, GNorm = 1.4324, lr_0 = 1.4727e-04
Loss = 4.3059e-01, PNorm = 46.9389, GNorm = 1.0820, lr_0 = 1.4767e-04
Loss = 3.8038e-01, PNorm = 47.0203, GNorm = 2.2115, lr_0 = 1.4808e-04
Loss = 4.3424e-01, PNorm = 47.0844, GNorm = 1.8088, lr_0 = 1.4849e-04
Loss = 3.7283e-01, PNorm = 47.1661, GNorm = 1.2752, lr_0 = 1.4890e-04
Loss = 4.8616e-01, PNorm = 47.2429, GNorm = 1.5499, lr_0 = 1.4930e-04
Loss = 4.1033e-01, PNorm = 47.3588, GNorm = 1.8722, lr_0 = 1.4971e-04
Loss = 3.3205e-01, PNorm = 47.4393, GNorm = 0.9528, lr_0 = 1.5012e-04
Loss = 3.1093e-01, PNorm = 47.5160, GNorm = 0.5961, lr_0 = 1.5052e-04
Loss = 3.9627e-01, PNorm = 47.5737, GNorm = 0.8151, lr_0 = 1.5093e-04
Loss = 5.0114e-01, PNorm = 47.6711, GNorm = 0.9030, lr_0 = 1.5134e-04
Loss = 4.5328e-01, PNorm = 47.7853, GNorm = 0.8505, lr_0 = 1.5175e-04
Loss = 3.3382e-01, PNorm = 47.8881, GNorm = 0.6666, lr_0 = 1.5215e-04
Loss = 3.5741e-01, PNorm = 47.9660, GNorm = 1.4832, lr_0 = 1.5256e-04
Loss = 6.2652e-01, PNorm = 48.0549, GNorm = 2.8432, lr_0 = 1.5297e-04
Loss = 4.1876e-01, PNorm = 48.2171, GNorm = 0.6473, lr_0 = 1.5337e-04
Loss = 3.4260e-01, PNorm = 48.3018, GNorm = 0.6014, lr_0 = 1.5378e-04
Loss = 4.5481e-01, PNorm = 48.3565, GNorm = 2.4881, lr_0 = 1.5419e-04
Loss = 4.2756e-01, PNorm = 48.4645, GNorm = 0.7704, lr_0 = 1.5460e-04
Loss = 5.0002e-01, PNorm = 48.5435, GNorm = 1.5604, lr_0 = 1.5500e-04
Loss = 3.7859e-01, PNorm = 48.6312, GNorm = 0.9719, lr_0 = 1.5541e-04
Loss = 4.6585e-01, PNorm = 48.7112, GNorm = 1.4104, lr_0 = 1.5582e-04
Loss = 4.6907e-01, PNorm = 48.7908, GNorm = 1.1524, lr_0 = 1.5622e-04
Loss = 4.1860e-01, PNorm = 48.8947, GNorm = 0.8429, lr_0 = 1.5663e-04
Loss = 3.6101e-01, PNorm = 48.9709, GNorm = 0.7840, lr_0 = 1.5704e-04
Loss = 3.4039e-01, PNorm = 49.0478, GNorm = 1.1069, lr_0 = 1.5745e-04
Loss = 3.2751e-01, PNorm = 49.1150, GNorm = 0.9175, lr_0 = 1.5785e-04
Loss = 3.8291e-01, PNorm = 49.1750, GNorm = 1.1526, lr_0 = 1.5826e-04
Loss = 3.7290e-01, PNorm = 49.2615, GNorm = 1.6472, lr_0 = 1.5867e-04
Loss = 3.0690e-01, PNorm = 49.3318, GNorm = 1.1031, lr_0 = 1.5907e-04
Loss = 3.2200e-01, PNorm = 49.4086, GNorm = 0.8598, lr_0 = 1.5948e-04
Loss = 3.5418e-01, PNorm = 49.4903, GNorm = 1.2097, lr_0 = 1.5989e-04
Loss = 5.0694e-01, PNorm = 49.6028, GNorm = 1.2510, lr_0 = 1.6030e-04
Loss = 4.4141e-01, PNorm = 49.7410, GNorm = 0.8984, lr_0 = 1.6070e-04
Loss = 4.7311e-01, PNorm = 49.8533, GNorm = 1.0031, lr_0 = 1.6111e-04
Loss = 4.3341e-01, PNorm = 49.9576, GNorm = 2.7700, lr_0 = 1.6152e-04
Loss = 4.6770e-01, PNorm = 50.0552, GNorm = 1.1145, lr_0 = 1.6192e-04
Loss = 3.9575e-01, PNorm = 50.1837, GNorm = 0.6700, lr_0 = 1.6233e-04
Loss = 3.5843e-01, PNorm = 50.2754, GNorm = 0.7985, lr_0 = 1.6274e-04
Loss = 4.5648e-01, PNorm = 50.3653, GNorm = 0.8797, lr_0 = 1.6315e-04
Loss = 4.6189e-01, PNorm = 50.4889, GNorm = 0.9890, lr_0 = 1.6355e-04
Loss = 4.1221e-01, PNorm = 50.5956, GNorm = 2.3431, lr_0 = 1.6396e-04
Loss = 2.7167e-01, PNorm = 50.6775, GNorm = 0.7552, lr_0 = 1.6437e-04
Loss = 3.4454e-01, PNorm = 50.7424, GNorm = 0.8302, lr_0 = 1.6477e-04
Loss = 4.8186e-01, PNorm = 50.8318, GNorm = 1.1793, lr_0 = 1.6518e-04
Loss = 6.0506e-01, PNorm = 50.9611, GNorm = 0.9304, lr_0 = 1.6559e-04
Loss = 4.6980e-01, PNorm = 51.1104, GNorm = 1.9915, lr_0 = 1.6600e-04
Loss = 4.6382e-01, PNorm = 51.2514, GNorm = 0.8497, lr_0 = 1.6640e-04
Loss = 4.4626e-01, PNorm = 51.3674, GNorm = 1.1505, lr_0 = 1.6681e-04
Loss = 4.3007e-01, PNorm = 51.5006, GNorm = 0.8848, lr_0 = 1.6722e-04
Loss = 4.0094e-01, PNorm = 51.6228, GNorm = 0.9164, lr_0 = 1.6762e-04
Loss = 4.0614e-01, PNorm = 51.7402, GNorm = 0.9823, lr_0 = 1.6803e-04
Loss = 4.4325e-01, PNorm = 51.8715, GNorm = 2.8923, lr_0 = 1.6844e-04
Loss = 4.5102e-01, PNorm = 52.0105, GNorm = 1.3788, lr_0 = 1.6885e-04
Loss = 5.1394e-01, PNorm = 52.1720, GNorm = 1.5977, lr_0 = 1.6925e-04
Loss = 3.3439e-01, PNorm = 52.3639, GNorm = 1.0880, lr_0 = 1.6966e-04
Loss = 2.6375e-01, PNorm = 52.4721, GNorm = 0.7712, lr_0 = 1.7007e-04
Loss = 2.4433e-01, PNorm = 52.5491, GNorm = 0.5281, lr_0 = 1.7047e-04
Loss = 4.2563e-01, PNorm = 52.6423, GNorm = 1.3976, lr_0 = 1.7088e-04
Loss = 2.7947e-01, PNorm = 52.7661, GNorm = 2.5691, lr_0 = 1.7129e-04
Loss = 4.7985e-01, PNorm = 52.8677, GNorm = 1.0192, lr_0 = 1.7170e-04
Loss = 4.1175e-01, PNorm = 53.0320, GNorm = 1.1909, lr_0 = 1.7210e-04
Loss = 3.6975e-01, PNorm = 53.1392, GNorm = 1.4187, lr_0 = 1.7251e-04
Loss = 2.8121e-01, PNorm = 53.2875, GNorm = 0.8559, lr_0 = 1.7292e-04
Loss = 3.2977e-01, PNorm = 53.3823, GNorm = 0.7750, lr_0 = 1.7332e-04
Loss = 3.4846e-01, PNorm = 53.4777, GNorm = 1.2774, lr_0 = 1.7373e-04
Loss = 4.1326e-01, PNorm = 53.5897, GNorm = 2.7846, lr_0 = 1.7414e-04
Loss = 4.6421e-01, PNorm = 53.6858, GNorm = 1.0736, lr_0 = 1.7455e-04
Loss = 4.9542e-01, PNorm = 53.8393, GNorm = 2.4601, lr_0 = 1.7495e-04
Loss = 4.7832e-01, PNorm = 53.9501, GNorm = 1.1263, lr_0 = 1.7536e-04
Loss = 4.2497e-01, PNorm = 54.1024, GNorm = 1.2707, lr_0 = 1.7577e-04
Loss = 4.0443e-01, PNorm = 54.2041, GNorm = 0.7236, lr_0 = 1.7617e-04
Loss = 3.9701e-01, PNorm = 54.3266, GNorm = 1.0045, lr_0 = 1.7658e-04
Loss = 4.1849e-01, PNorm = 54.4570, GNorm = 1.2044, lr_0 = 1.7699e-04
Loss = 3.7211e-01, PNorm = 54.5794, GNorm = 2.2506, lr_0 = 1.7740e-04
Loss = 4.0461e-01, PNorm = 54.6814, GNorm = 0.9485, lr_0 = 1.7780e-04
Loss = 3.2030e-01, PNorm = 54.8200, GNorm = 0.7157, lr_0 = 1.7821e-04
Loss = 4.4557e-01, PNorm = 54.9197, GNorm = 0.9283, lr_0 = 1.7862e-04
Loss = 4.4561e-01, PNorm = 55.1031, GNorm = 0.6704, lr_0 = 1.7902e-04
Loss = 3.7384e-01, PNorm = 55.2472, GNorm = 1.3398, lr_0 = 1.7943e-04
Loss = 3.7348e-01, PNorm = 55.3737, GNorm = 1.0114, lr_0 = 1.7984e-04
Loss = 6.0114e-01, PNorm = 55.5466, GNorm = 1.0004, lr_0 = 1.8025e-04
Loss = 5.0498e-01, PNorm = 55.7990, GNorm = 0.6272, lr_0 = 1.8065e-04
Loss = 5.0252e-01, PNorm = 56.0534, GNorm = 0.8668, lr_0 = 1.8106e-04
Loss = 3.3983e-01, PNorm = 56.2441, GNorm = 0.6698, lr_0 = 1.8147e-04
Loss = 4.4789e-01, PNorm = 56.3809, GNorm = 0.9955, lr_0 = 1.8187e-04
Loss = 4.1546e-01, PNorm = 56.5272, GNorm = 0.8210, lr_0 = 1.8228e-04
Loss = 3.0210e-01, PNorm = 56.6413, GNorm = 1.1637, lr_0 = 1.8269e-04
Loss = 5.0391e-01, PNorm = 56.7427, GNorm = 1.0356, lr_0 = 1.8310e-04
Loss = 2.5497e-01, PNorm = 56.9428, GNorm = 0.7704, lr_0 = 1.8350e-04
Loss = 4.0234e-01, PNorm = 57.0790, GNorm = 0.6726, lr_0 = 1.8391e-04
Loss = 4.9186e-01, PNorm = 57.2832, GNorm = 1.6372, lr_0 = 1.8432e-04
Loss = 6.0711e-01, PNorm = 57.5374, GNorm = 3.2823, lr_0 = 1.8472e-04
Loss = 3.1065e-01, PNorm = 57.7645, GNorm = 0.7665, lr_0 = 1.8513e-04
Loss = 2.8542e-01, PNorm = 57.8989, GNorm = 0.8559, lr_0 = 1.8554e-04
Loss = 3.8546e-01, PNorm = 57.9776, GNorm = 1.9067, lr_0 = 1.8594e-04
Loss = 4.6925e-01, PNorm = 58.1323, GNorm = 1.4405, lr_0 = 1.8635e-04
Loss = 4.5371e-01, PNorm = 58.3083, GNorm = 1.8069, lr_0 = 1.8676e-04
Loss = 4.0208e-01, PNorm = 58.4706, GNorm = 0.8024, lr_0 = 1.8717e-04
Loss = 4.4738e-01, PNorm = 58.6773, GNorm = 0.8058, lr_0 = 1.8757e-04
Loss = 4.1239e-01, PNorm = 58.8573, GNorm = 1.0659, lr_0 = 1.8798e-04
Loss = 3.0487e-01, PNorm = 59.0166, GNorm = 0.5904, lr_0 = 1.8839e-04
Loss = 5.0341e-01, PNorm = 59.1435, GNorm = 1.2708, lr_0 = 1.8879e-04
Loss = 3.5444e-01, PNorm = 59.3302, GNorm = 0.7594, lr_0 = 1.8920e-04
Loss = 4.5595e-01, PNorm = 59.4355, GNorm = 1.6300, lr_0 = 1.8961e-04
Loss = 3.6445e-01, PNorm = 59.5735, GNorm = 0.8614, lr_0 = 1.9002e-04
Loss = 4.7923e-01, PNorm = 59.7144, GNorm = 0.8249, lr_0 = 1.9042e-04
Loss = 4.1122e-01, PNorm = 59.8372, GNorm = 0.8918, lr_0 = 1.9083e-04
Loss = 5.4405e-01, PNorm = 59.9666, GNorm = 0.9048, lr_0 = 1.9124e-04
Loss = 3.5675e-01, PNorm = 60.1645, GNorm = 2.4748, lr_0 = 1.9164e-04
Loss = 4.3200e-01, PNorm = 60.2705, GNorm = 1.1867, lr_0 = 1.9205e-04
Loss = 3.9073e-01, PNorm = 60.4400, GNorm = 0.8721, lr_0 = 1.9246e-04
Loss = 3.4405e-01, PNorm = 60.5914, GNorm = 1.0969, lr_0 = 1.9287e-04
Loss = 2.5604e-01, PNorm = 60.6707, GNorm = 0.4977, lr_0 = 1.9327e-04
